start_time,end_time,anomaly_count,anomaly_density,max_score,mean_score
2025-07-14 00:00:00+08:00,2025-07-14 23:50:00+08:00,7,0.04861111111111111,22.91802223930438,5.196612075360152
2025-07-14 12:00:00+08:00,2025-07-15 11:50:00+08:00,8,0.05555555555555555,22.91802223930438,4.716624346186288
2025-07-15 00:00:00+08:00,2025-07-15 23:50:00+08:00,9,0.0625,4.162401458789488,2.4820616063308774
2025-07-15 12:00:00+08:00,2025-07-16 11:50:00+08:00,5,0.034722222222222224,4.162401458789488,2.7010686642676047
2025-07-16 00:00:00+08:00,2025-07-16 23:50:00+08:00,4,0.027777777777777776,2.032553258179384,1.9975651656120543
2025-07-16 12:00:00+08:00,2025-07-17 11:50:00+08:00,8,0.05555555555555555,2.818466014467554,2.1653144780572324
2025-07-17 00:00:00+08:00,2025-07-17 23:50:00+08:00,8,0.05555555555555555,2.818466014467554,2.16666779870162
2025-07-17 12:00:00+08:00,2025-07-18 11:50:00+08:00,5,0.034722222222222224,3.1974005533096905,2.2941742535972343
2025-07-18 00:00:00+08:00,2025-07-18 23:50:00+08:00,5,0.034722222222222224,3.1974005533096905,2.3655673498208265
2025-07-18 12:00:00+08:00,2025-07-19 11:50:00+08:00,6,0.041666666666666664,2.5385468617889795,2.168574098817865
2025-07-19 00:00:00+08:00,2025-07-19 23:50:00+08:00,5,0.034722222222222224,2.5385468617889795,2.1270306557463927
2025-07-19 12:00:00+08:00,2025-07-20 11:50:00+08:00,12,0.08333333333333333,4.587376198923394,2.886039502053336
2025-07-20 00:00:00+08:00,2025-07-20 23:50:00+08:00,13,0.09027777777777778,4.587376198923394,2.832503687066684
