time,value,score,type
2025-07-14 01:10:00+08:00,1504.2321128272538,2.6477859984940397,spike
2025-07-14 03:00:00+08:00,4170.315135131283,2.7378780856670093,spike
2025-07-14 05:00:00+08:00,11733.768154342426,1.8268318826426224,spike
2025-07-14 06:00:00+08:00,7575.361092977691,2.056908467061681,spike
2025-07-14 09:00:00+08:00,1466.0417791830196,1.8729753342161335,spike
2025-07-14 11:40:00+08:00,4790.2177457663565,2.3158825201351934,spike
2025-07-14 16:30:00+08:00,34109.276874739284,22.91802223930438,spike
2025-07-15 01:00:00+08:00,14552.472422384308,2.317503578817086,spike
2025-07-15 01:40:00+08:00,4728.679591687594,1.7812309216966544,spike
2025-07-15 02:30:00+08:00,876.7833839952468,1.9968623692411005,spike
2025-07-15 04:00:00+08:00,6253.785190863624,1.7305756468722413,spike
2025-07-15 04:20:00+08:00,6904.805663709536,2.155781214996857,spike
2025-07-15 06:50:00+08:00,7672.687531102028,2.612562706840688,spike
2025-07-15 07:10:00+08:00,6116.42177340247,2.220456091721297,spike
2025-07-15 15:30:00+08:00,9240.14623012325,4.162401458789488,spike
2025-07-15 21:00:00+08:00,5792.407072621629,3.361180468002483,spike
2025-07-16 01:00:00+08:00,6029.151485546501,2.013135482805866,spike
2025-07-16 17:30:00+08:00,4435.297298236891,2.008499267902166,spike
2025-07-17 01:00:00+08:00,9932.9264247938,2.3138057609799425,spike
2025-07-17 02:00:00+08:00,2060.561409358393,1.776507632845249,spike
2025-07-17 04:50:00+08:00,5658.290093392947,2.560940053673524,spike
2025-07-17 05:10:00+08:00,7759.709174446929,1.8215641235119115,spike
2025-07-17 11:30:00+08:00,5900.959261531746,2.818466014467554,spike
2025-07-17 16:10:00+08:00,4553.4183655529305,2.019325833057263,spike
2025-07-18 01:40:00+08:00,8312.530339648587,3.1974005533096905,spike
2025-07-18 02:00:00+08:00,2150.458534416928,1.803525030508139,spike
2025-07-18 03:50:00+08:00,739.6451273634689,2.2193400836493664,spike
2025-07-18 09:00:00+08:00,5863.2744465064125,2.231279767461712,spike
2025-07-18 17:30:00+08:00,4635.908440221926,2.376291314175224,spike
2025-07-19 01:20:00+08:00,8972.419032320904,2.049938489122546,spike
2025-07-19 02:30:00+08:00,2142.1139353782646,2.3564304123311266,spike
2025-07-19 05:20:00+08:00,2361.6010585923605,1.814374084881964,spike
2025-07-20 01:00:00+08:00,5523.89614319348,3.64217369093314,spike
2025-07-20 01:30:00+08:00,6260.8852174695785,1.764463308479158,spike
2025-07-20 02:50:00+08:00,2171.7245948856216,2.151101212055348,spike
2025-07-20 03:40:00+08:00,882.9163948013736,2.0238376572878245,spike
2025-07-20 04:10:00+08:00,9595.099746667433,4.587376198923394,spike
2025-07-20 05:00:00+08:00,8755.750504824384,3.998751350467234,spike
2025-07-20 07:10:00+08:00,5782.487550372498,2.868957504705108,spike
2025-07-20 08:00:00+08:00,5214.728961231607,1.9409556142419468,spike
2025-07-20 14:00:00+08:00,4163.642595005619,2.190073907226864,spike
